"name","high","ts","hour"
"BYND","137.97000122070312","05/14/2020 09:39:00","09"
"BYND","139.55999755859375","05/14/2020 10:31:00","10"
"BYND","141.0","05/14/2020 11:15:00","11"
"BYND","138.24000549316406","05/14/2020 12:57:00","12"
"BYND","137.78990173339844","05/14/2020 13:00:00","13"
"BYND","135.7301025390625","05/14/2020 14:12:00","14"
"BYND","135.85000610351562","05/14/2020 15:54:00","15"
"DDOG","67.25","05/14/2020 09:32:00","09"
"DDOG","66.55000305175781","05/14/2020 10:09:00","10"
"DDOG","65.0","05/14/2020 11:06:00","11"
"DDOG","64.87999725341797","05/14/2020 12:54:00","12"
"DDOG","65.0","05/14/2020 13:02:00","13"
"DDOG","64.12999725341797","05/14/2020 14:48:00","14"
"DDOG","65.86990356445312","05/14/2020 15:54:00","15"
"FB","203.8677978515625","05/14/2020 09:37:00","09"
"FB","203.35000610351562","05/14/2020 10:53:00","10"
"FB","204.27000427246094","05/14/2020 11:37:00","11"
"FB","205.10000610351562","05/14/2020 12:56:00","12"
"FB","205.63999938964844","05/14/2020 13:32:00","13"
"FB","204.98500061035156","05/14/2020 14:29:00","14"
"FB","206.92999267578125","05/14/2020 15:59:00","15"
"NFLX","452.0","05/14/2020 09:36:00","09"
"NFLX","446.510009765625","05/14/2020 10:08:00","10"
"NFLX","440.6400146484375","05/14/2020 11:16:00","11"
"NFLX","440.3399963378906","05/14/2020 12:59:00","12"
"NFLX","441.7799987792969","05/14/2020 13:49:00","13"
"NFLX","441.44000244140625","05/14/2020 14:30:00","14"
"NFLX","442.1400146484375","05/14/2020 15:59:00","15"
"OKTA","178.0","05/14/2020 09:39:00","09"
"OKTA","177.80679321289062","05/14/2020 10:10:00","10"
"OKTA","179.88999938964844","05/14/2020 11:37:00","11"
"OKTA","179.0050048828125","05/14/2020 12:57:00","12"
"OKTA","178.5","05/14/2020 13:03:00","13"
"OKTA","177.80999755859375","05/14/2020 14:32:00","14"
"OKTA","177.85000610351562","05/14/2020 15:05:00","15"
"PINS","16.540000915527344","05/14/2020 09:31:00","09"
"PINS","16.674999237060547","05/14/2020 10:53:00","10"
"PINS","16.94499969482422","05/14/2020 11:18:00","11"
"PINS","17.040000915527344","05/14/2020 12:57:00","12"
"PINS","17.030000686645508","05/14/2020 13:26:00","13"
"PINS","16.905000686645508","05/14/2020 14:21:00","14"
"PINS","17.09000015258789","05/14/2020 15:50:00","15"
"SHOP","758.0900268554688","05/14/2020 09:31:00","09"
"SHOP","752.0","05/14/2020 10:10:00","10"
"SHOP","757.469970703125","05/14/2020 11:16:00","11"
"SHOP","754.1599731445312","05/14/2020 12:57:00","12"
"SHOP","755.8200073242188","05/14/2020 13:01:00","13"
"SHOP","751.7999877929688","05/14/2020 14:57:00","14"
"SHOP","755.5700073242188","05/14/2020 15:50:00","15"
"SNAP","16.729999542236328","05/14/2020 09:31:00","09"
"SNAP","16.93000030517578","05/14/2020 10:54:00","10"
"SNAP","17.149999618530273","05/14/2020 11:07:00","11"
"SNAP","16.989999771118164","05/14/2020 12:57:00","12"
"SNAP","17.0","05/14/2020 13:31:00","13"
"SNAP","16.920000076293945","05/14/2020 14:58:00","14"
"SNAP","16.969999313354492","05/14/2020 15:08:00","15"
"SQ","72.73999786376953","05/14/2020 09:47:00","09"
"SQ","75.58999633789062","05/14/2020 10:59:00","10"
"SQ","76.48999786376953","05/14/2020 11:09:00","11"
"SQ","76.75","05/14/2020 12:59:00","12"
"SQ","77.18000030517578","05/14/2020 13:48:00","13"
"SQ","77.26000213623047","05/14/2020 14:59:00","14"
"SQ","78.25","05/14/2020 15:57:00","15"
"TTD","289.44989013671875","05/14/2020 09:31:00","09"
"TTD","290.07000732421875","05/14/2020 10:53:00","10"
"TTD","296.8562927246094","05/14/2020 11:18:00","11"
"TTD","294.5","05/14/2020 12:57:00","12"
"TTD","296.0","05/14/2020 13:31:00","13"
"TTD","295.7699890136719","05/14/2020 14:59:00","14"
"TTD","297.6700134277344","05/14/2020 15:24:00","15"
